XP_064077102.1	Q969H6	33.333	120	70	3	1	110	1	120	3.61e-15	67.4
XP_064077103.1	O75191	59.287	533	211	4	10	537	1	532	0.0	662
XP_064077104.1	Q00526	66.555	299	96	2	6	303	4	299	3.88e-148	417
XP_064077105.1	P78540	44.410	322	163	5	31	350	20	327	1.18e-86	265
XP_064077106.1	Q9H089	48.980	196	87	6	1	185	464	657	1.68e-49	169
XP_064077108.1	Q5TID7	29.545	132	65	4	685	811	372	480	2.11e-06	50.8
XP_064077113.1	Q96HN2	81.498	454	82	1	287	740	160	611	0.0	808
XP_064077120.1	Q96HN2	81.498	454	82	1	156	609	160	611	0.0	795
XP_064077128.1	Q96HN2	81.498	454	82	1	151	604	160	611	0.0	795
XP_064077136.1	Q96HN2	81.498	454	82	1	101	554	160	611	0.0	798
XP_064077145.1	Q96HN2	81.498	454	82	1	78	531	160	611	0.0	799
XP_064077148.1	Q8IZH2	51.011	1237	524	22	1	1197	1	1195	0.0	1197
XP_064077149.1	Q8IZH2	51.011	1237	524	22	1	1197	1	1195	0.0	1196
XP_064077150.1	Q8IZH2	50.930	1237	525	20	1	1197	1	1195	0.0	1196
XP_064077151.1	Q8IXJ6	56.970	330	132	4	100	427	24	345	9.83e-129	377
XP_064077152.1	Q8IXJ6	56.970	330	132	4	97	424	24	345	6.97e-129	377
XP_064077153.1	Q8IXJ6	56.970	330	132	4	74	401	24	345	3.80e-129	377
XP_064077154.1	Q96HN2	81.498	454	82	1	74	527	160	611	0.0	798
XP_064077155.1	P05090	37.349	166	98	3	34	197	26	187	1.37e-33	118
XP_064077156.1	Q5DT21	55.172	29	13	0	31	59	39	67	6.78e-06	40.0
XP_064077157.1	P00995	32.787	61	39	1	20	78	19	79	5.54e-06	40.0
XP_064077158.1	O00468	37.383	107	55	3	41	135	493	599	2.02e-11	60.1
XP_064077158.1	O00468	30.400	125	63	6	30	135	342	461	1.87e-08	51.6
XP_064077158.1	O00468	32.231	121	49	4	48	135	630	750	1.15e-06	46.2
XP_064077166.1	Q9NZQ0	48.352	273	135	4	1	270	1	270	1.89e-87	261
XP_064077171.1	Q5DT21	35.849	53	34	0	26	78	34	86	3.06e-06	40.8
XP_064077172.1	Q6UWN8	36.986	73	45	1	6	78	9	80	4.27e-06	40.4
XP_064077173.1	Q9NZQ0	48.352	273	135	4	1	270	1	270	1.89e-87	261
XP_064077177.1	P00995	34.426	61	38	1	20	78	19	79	6.45e-06	40.0
XP_064077178.1	P00995	34.426	61	38	1	20	78	19	79	6.45e-06	40.0
XP_064077179.1	P00995	38.095	42	26	0	37	78	38	79	6.45e-06	40.0
XP_064077180.1	Q9H3U7	34.000	50	28	1	33	77	37	86	5.52e-07	44.7
XP_064077181.1	Q9NZQ0	48.352	273	135	4	1	270	1	270	1.89e-87	261
XP_064077184.1	Q9H4F8	35.185	54	34	1	23	75	36	89	1.90e-07	46.2
XP_064077185.1	Q9H4F8	35.185	54	34	1	23	75	36	89	4.72e-07	45.1
